ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
ADPT,91.83,143,"1,066",129,11094946,86,13897175,39,106330336,254,131322457,46,2558354,25,1669558,"28-11-2022 21:59:51"
ADSE,11.64,49,32,9,1939102,6,56942,7,3683190,22,5679234,7,1930279,2,3893,"28-11-2022 21:59:51"
ADSK,90.89,216,"39,370",503,15385201,468,9959026,154,170858419,"1,125",196202646,101,6198195,83,848764,"28-11-2022 21:59:51"
ADTN,79.06,78,"1,246",144,17581048,68,4813635,12,39003953,224,61398636,56,6070912,31,1813561,"28-11-2022 21:59:51"
ADTX,6.96,4,1,10,283073,16,48310,3,41775,29,289608,3,208378,15,48060,"28-11-2022 21:59:51"
ADUS,97.78,16,"1,696",122,982936,75,482385,32,14287591,229,15752912,45,664140,18,139336,"28-11-2022 21:59:51"
ADV,26.78,320,214,81,17653658,37,20065273,18,47900025,136,85618956,43,13523848,12,2753894,"28-11-2022 21:59:51"
ADVM,58.83,100,42,29,9216571,42,8867560,22,40590803,93,58674934,18,8864630,13,6165810,"28-11-2022 21:59:51"
ADXN,37.52,16,5,8,4871232,2,32055,1,1219443,11,6122730,6,97007,1,31134,"28-11-2022 21:59:51"
AEAC,88.2,23,204,20,2933912,14,2366926,39,14985718,73,20286556,9,1484729,5,984209,"28-11-2022 21:59:51"
AEAE,87.55,23,203,22,5668134,15,2854745,36,11612608,73,20135487,9,3758766,7,1657700,"28-11-2022 21:59:51"
AEHA,99.36,11,108,10,1661150,9,1308577,25,7562092,44,10531819,9,1659931,3,764429,"28-11-2022 21:59:51"
AEHL,0.76,8,0,3,25752,4,69908,2,36113,9,59547,2,23952,3,18107,"28-11-2022 21:59:51"
AEHR,43.89,27,323,58,4227459,31,926944,12,6912377,101,12066780,31,2857627,16,300367,"28-11-2022 21:59:51"
AEI,3.38,149,1,7,975838,9,425479,7,3624205,23,5025522,3,42935,4,137197,"28-11-2022 21:59:51"
AEIS,100.09,37,"3,403",137,1222337,126,1019739,37,35175473,300,37417549,35,230040,18,148230,"28-11-2022 21:59:51"
AEMD,8.75,23,1,19,1076184,6,55097,11,875622,36,2006903,9,385236,5,54997,"28-11-2022 21:59:51"
