ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
CALA,33.86,5,3,7,56430,17,160741,7,1430264,31,1647435,3,1496,8,119412,"28-11-2022 21:59:51"
CALB,55.27,8,110,10,281754,11,47962,21,4273518,42,4603234,3,199901,0,0,"28-11-2022 21:59:51"
CALM,92.16,44,"2,353",171,10715981,117,9339787,27,20618179,315,40673947,66,3639862,32,2050807,"28-11-2022 21:59:51"
CALT,3.13,30,16,6,61363,8,4306,4,860899,18,926568,2,45350,3,324,"28-11-2022 21:59:51"
CAMP,74.74,37,102,60,8455071,70,10004066,10,9240409,140,27699546,28,3914924,41,1788626,"28-11-2022 21:59:51"
CAMT,27.55,44,291,35,1124242,43,991842,14,10109858,92,12225942,3,95293,18,398551,"28-11-2022 21:59:51"
CAN,1.03,"2,573",68,39,2880758,32,8001866,20,15581541,91,26464165,10,377068,13,2827505,"28-11-2022 21:59:51"
CANB,0.0,4,0,0,0,0,0,1,12,1,12,0,0,0,0,"28-11-2022 21:59:51"
CAPR,11.06,25,11,15,346738,12,94640,7,2349168,34,2790546,6,83147,4,46368,"28-11-2022 21:59:51"
CAR,103.96,41,"9,655",123,3247925,173,7977498,44,31883317,340,43108740,52,1353760,47,2645011,"28-11-2022 21:59:51"
CARA,64.66,54,389,86,2221401,76,2454936,39,30065883,201,34742220,15,933205,30,1592265,"28-11-2022 21:59:51"
CARE,38.36,24,169,43,813718,38,528390,19,7907428,100,9249536,16,499524,9,181809,"28-11-2022 21:59:51"
CARG,99.34,103,"1,325",129,11161158,111,12370921,25,78719989,265,102252068,37,3060321,47,5373503,"28-11-2022 21:59:51"
CARV,19.34,4,3,10,89208,6,9724,3,718588,19,817520,2,23104,3,4995,"28-11-2022 21:59:51"
CASA,63.28,95,164,35,2831353,53,3894909,14,53147655,102,59873917,11,507868,20,1313184,"28-11-2022 21:59:51"
CASH,98.76,28,"1,256",101,5549245,100,3834953,27,18730314,228,28114512,26,781114,36,1421882,"28-11-2022 21:59:51"
CASI,14.62,14,4,10,65421,12,265475,9,1658951,31,1989847,6,58269,6,194113,"28-11-2022 21:59:51"
CASS,56.51,14,335,62,692341,53,785628,24,6241564,139,7719533,9,38129,16,450290,"28-11-2022 21:59:51"
CASY,86.17,37,"7,753",213,5330662,190,5122156,74,21651319,477,32104137,53,3398622,39,222429,"28-11-2022 21:59:51"
CATC,49.24,8,344,34,95329,48,158773,36,3584654,118,3838756,9,6864,8,46787,"28-11-2022 21:59:51"
CATY,69.06,74,"2,364",99,1926076,134,3103607,40,46364159,273,51393842,16,233960,24,622016,"28-11-2022 21:59:51"
CBAN,52.21,18,127,24,926078,44,857912,18,7426704,86,9210694,4,39630,18,592045,"28-11-2022 21:59:51"
CBAT,2.22,89,2,8,442384,19,991389,5,543338,32,1977111,4,131203,10,252539,"28-11-2022 21:59:51"
CBAY,74.06,85,207,35,3808104,48,4445967,41,54463334,124,62717405,15,2391426,18,1043314,"28-11-2022 21:59:51"
CBFV,29.38,5,33,9,72141,11,48709,18,1375425,38,1496275,2,11003,3,13633,"28-11-2022 21:59:51"
CBIO,24.56,31,4,11,1155133,18,1455251,14,5124129,43,7734513,3,108141,9,1152322,"28-11-2022 21:59:51"
CBNK,32.1,14,111,35,193395,33,353563,13,3964935,81,4511893,7,49568,7,118981,"28-11-2022 21:59:51"
CBRG,82.79,23,194,17,3387561,14,1272173,28,14381336,59,19041070,11,2419484,3,508252,"28-11-2022 21:59:51"
CBRL,88.58,22,"2,303",160,1853028,138,2304914,67,15472607,365,19630549,52,713436,34,217101,"28-11-2022 21:59:51"
CBSH,68.75,119,"6,149",170,2607490,176,3602546,93,75841663,439,82051699,39,753975,33,437796,"28-11-2022 21:59:51"
CCAI,94.63,15,141,18,1615514,5,463715,25,12114839,48,14194068,8,1359789,1,30900,"28-11-2022 21:59:51"
CCAP,36.77,31,160,21,1013663,20,468386,12,9876421,53,11358470,9,866354,5,57564,"28-11-2022 21:59:51"
CCB,58.44,13,371,54,1041956,40,1441762,26,5090889,120,7574607,15,680982,5,913944,"28-11-2022 21:59:51"
CCBG,45.04,17,272,51,321061,24,186867,22,7132260,97,7640188,20,187249,4,32493,"28-11-2022 21:59:51"
CCCC,80.47,49,312,66,5228711,46,5150784,17,29015473,129,39394968,19,960606,14,1682619,"28-11-2022 21:59:51"
CCD,16.14,26,92,26,242625,25,425186,10,3495521,61,4163332,7,41192,8,286414,"28-11-2022 21:59:51"
CCEP,29.12,457,"7,016",188,21577857,151,21515276,67,89917247,406,133010380,49,2308191,41,3895736,"28-11-2022 21:59:51"
CCLP,16.81,141,31,8,259357,13,267431,9,23215803,30,23742591,4,112270,6,117975,"28-11-2022 21:59:51"
CCNC,1.38,2,0,6,16868,2,3072,2,1253,10,21193,2,1911,1,20,"28-11-2022 21:59:51"
CCNE,52.98,21,295,62,4228096,29,252434,21,6710023,112,11190553,22,2238973,5,6051,"28-11-2022 21:59:51"
CCOI,86.74,48,"2,443",148,2806776,133,3395623,32,35440879,313,41643278,39,1052556,42,641941,"28-11-2022 21:59:51"
CCRN,98.67,37,"1,300",112,5515534,107,5090722,15,26192273,234,36798529,47,1384241,27,1241942,"28-11-2022 21:59:51"
CCSI,94.2,20,"1,042",92,2196518,68,1143576,34,15338294,194,18678388,21,872567,20,160922,"28-11-2022 21:59:51"
CCTS,90.41,13,116,16,2276971,12,661994,25,8497350,53,11436315,5,1090499,6,447286,"28-11-2022 21:59:51"
CD,24.17,373,579,59,26197178,59,19076167,14,44989241,132,90262586,26,19146924,20,7150714,"28-11-2022 21:59:51"
CDAK,47.27,37,13,24,7148714,26,1484235,11,8776741,61,17409690,12,3053565,12,904256,"28-11-2022 21:59:51"
CDAQ,85.44,21,180,17,4813451,11,1733763,21,11600611,49,18147825,10,2569817,5,1115592,"28-11-2022 21:59:51"
CDIO,54.87,10,10,4,419581,7,756626,27,4044082,38,5220289,3,416776,3,668572,"28-11-2022 21:59:51"
CDLX,95.08,33,127,76,4403038,69,4553183,20,22576841,165,31533062,22,1128059,30,2231772,"28-11-2022 21:59:51"
CDMO,103.36,62,945,86,6790126,90,3553462,31,53912368,207,64255956,17,2365138,25,836756,"28-11-2022 21:59:51"
CDNA,106.2,54,727,103,6932110,83,7582423,28,42343774,214,56858307,26,479433,26,1819448,"28-11-2022 21:59:51"
CDNS,85.55,274,"39,264",411,15133506,375,12563152,102,206979497,888,234676155,94,1278158,64,371467,"28-11-2022 21:59:51"
CDRO,12.72,45,17,3,281816,8,612599,3,4844068,14,5738483,2,3816,1,25680,"28-11-2022 21:59:51"
CDTX,37.8,72,19,16,1052156,20,1194775,15,24826318,51,27073249,5,580590,9,407789,"28-11-2022 21:59:51"
CDW,94.37,135,"24,046",389,8343810,322,6565467,131,112859513,842,127768790,78,842195,65,1240662,"28-11-2022 21:59:51"
CDXC,16.45,74,21,13,263496,45,3254360,21,8735096,79,12252952,3,111276,16,296686,"28-11-2022 21:59:51"
CDXS,93.46,66,332,110,7686020,57,11152204,29,42550372,196,61388596,29,2669675,21,3778874,"28-11-2022 21:59:51"
CDZI,11.4,56,14,23,1329852,32,1630119,19,3404070,74,6364041,9,263194,11,622933,"28-11-2022 21:59:51"
CEAD,11.0,8,1,10,261644,8,141978,2,471309,20,874931,7,258642,4,114775,"28-11-2022 21:59:51"
CECO,65.19,34,271,60,3343131,41,2922978,25,16073553,126,22339662,30,1684223,9,159276,"28-11-2022 21:59:51"
CEG,81.51,327,"25,897",390,21844847,361,20945023,152,223747614,903,266537484,152,8484201,78,2140573,"28-11-2022 21:59:51"
CELC,35.88,15,50,8,1582577,23,721549,13,3242887,44,5547013,3,155223,11,313827,"28-11-2022 21:59:51"
CELH,55.89,76,"4,654",175,7972311,142,8078357,25,26548636,342,42599304,92,2927763,46,2164419,"28-11-2022 21:59:51"
CELU,24.19,145,55,48,7152993,21,3015309,12,24906809,81,35075111,15,632659,11,2045144,"28-11-2022 21:59:51"
CELZ,4.18,14,0,7,345491,4,1264636,9,1021191,20,588936,5,338415,2,1250825,"28-11-2022 21:59:51"
CEMI,8.65,37,1,9,888497,16,328188,16,1958413,41,3175098,3,224866,5,116530,"28-11-2022 21:59:51"
CENN,8.17,261,16,40,1951903,30,1582355,26,17824814,96,21359072,17,281683,8,1022374,"28-11-2022 21:59:51"
CENQ,90.96,17,161,9,1490348,8,1018334,36,13354786,53,15863468,5,1390195,2,783459,"28-11-2022 21:59:51"
CENQU,0.16,17,0,0,0,3,277300,4,250358,7,26942,0,0,2,269400,"28-11-2022 21:59:51"
CENT,84.72,11,384,55,201555,66,485799,28,8857898,149,9545252,14,88953,21,93050,"28-11-2022 21:59:51"
CENTA,92.39,41,"1,450",79,1369168,81,1684680,33,35057483,193,38111331,13,102070,20,262662,"28-11-2022 21:59:51"
CENX,56.46,91,435,98,4410815,92,10050085,21,37114902,211,51575802,35,2147655,30,1651075,"28-11-2022 21:59:51"
CERE,85.06,156,"3,791",79,12978065,33,4227031,16,115759206,128,132964302,19,3337390,13,2069110,"28-11-2022 21:59:51"
CERS,82.96,177,568,100,9306764,70,13189538,40,124687009,210,147183311,25,1543428,19,3387619,"28-11-2022 21:59:51"
CERT,76.11,160,"1,930",113,14255159,79,16465381,20,90814198,212,121534738,46,7157207,18,609127,"28-11-2022 21:59:51"
CETX,2.73,26,0,3,28872,8,270672,8,421596,19,721140,3,28872,3,139978,"28-11-2022 21:59:51"
CEVA,85.88,23,546,80,1171858,71,1087976,34,17654543,185,19914377,14,105903,23,115035,"28-11-2022 21:59:51"
CFB,53.19,49,359,57,6407321,50,5832839,33,13620038,140,25860198,21,5198208,15,5270391,"28-11-2022 21:59:51"
CFBK,31.75,5,39,9,79985,8,111315,10,1467811,27,1659111,3,61072,1,1,"28-11-2022 21:59:51"
CFFE,201.73,4,73,6,849493,37,14317814,8,8106704,51,7060603,1,250,31,12465358,"28-11-2022 21:59:51"
CFFI,30.3,3,56,18,68690,8,29576,12,955632,38,1053898,4,25252,2,2251,"28-11-2022 21:59:51"
CFFN,76.06,137,859,95,8259630,87,8451396,41,87868108,223,104579134,28,4704651,19,518360,"28-11-2022 21:59:51"
CFFS,85.49,19,160,15,2087726,7,1286884,24,12611282,46,15985892,6,992801,2,881932,"28-11-2022 21:59:51"
CFIV,86.54,51,442,26,4628023,22,2270740,46,37234436,94,44133199,6,947250,9,1364274,"28-11-2022 21:59:51"
CFIVU,8.34,51,43,5,117378,12,2358638,9,1779757,26,4255773,2,27964,3,2251696,"28-11-2022 21:59:51"
CFLT,75.9,154,"2,639",142,11800791,73,9871237,40,95002811,255,116674839,59,2786918,19,491845,"28-11-2022 21:59:51"
CFMS,36.23,8,6,15,64958,27,630585,43,2028047,85,2723590,4,30275,12,567041,"28-11-2022 21:59:51"
CFRX,22.26,39,1,21,2991767,28,17480137,16,11715384,65,8756520,11,2603073,18,12940034,"28-11-2022 21:59:51"
CFSB,1.81,7,1,5,41347,3,1273,5,75548,13,118168,3,40719,0,0,"28-11-2022 21:59:51"
CG,53.43,364,"5,707",242,24632523,206,20576195,56,149052380,504,194261098,57,9401774,76,5075424,"28-11-2022 21:59:51"
CGABL,0.08,20,0,1,16800,0,0,0,0,1,16800,1,16800,0,0,"28-11-2022 21:59:51"
CGBD,21.31,51,158,40,653020,47,1366941,24,8927204,111,10947165,8,298979,15,336765,"28-11-2022 21:59:51"
CGC,15.76,486,280,124,36095337,133,9337579,140,31157644,397,76590560,32,22881629,50,2437384,"28-11-2022 21:59:51"
CGEM,80.72,46,491,56,2128225,36,2753539,14,32064543,106,36946307,18,437074,7,950601,"28-11-2022 21:59:51"
CGEN,25.46,87,22,37,8279679,38,24349276,27,10573276,102,22055679,11,2152010,20,14275298,"28-11-2022 21:59:51"
CGNT,84.87,68,180,56,7238787,79,9991455,27,40360645,162,57590887,13,807773,32,3787753,"28-11-2022 21:59:51"
CGNX,92.63,173,"7,839",223,19790883,223,17260737,90,123126423,536,160178043,52,7025075,57,2520408,"28-11-2022 21:59:51"
CGO,10.22,10,9,11,90117,12,59596,7,853927,30,1003640,2,8716,5,12528,"28-11-2022 21:59:51"
CGRN,21.1,18,7,14,1663148,13,177529,10,2028244,37,3868921,8,1551859,8,115865,"28-11-2022 21:59:51"
CGTX,18.69,28,13,15,769295,11,705984,10,3703661,36,5178940,8,344631,5,409454,"28-11-2022 21:59:51"
CHCI,6.23,9,3,2,5833,5,19312,5,550822,12,575967,0,0,1,20,"28-11-2022 21:59:51"
CHCO,69.34,15,"1,036",79,529263,80,342630,41,9429523,200,10301416,19,71015,27,113167,"28-11-2022 21:59:51"
CHDN,73.7,37,"6,165",145,1498220,160,1426484,64,24641154,369,27565858,35,255449,35,111864,"28-11-2022 21:59:51"
CHEF,86.86,38,"1,258",102,4886808,91,5196299,20,23157422,213,33240529,26,418529,44,3282198,"28-11-2022 21:59:51"
CHEK,0.78,6,0,6,6272,9,25326,12,13988,27,45586,2,581,6,20068,"28-11-2022 21:59:51"
CHI,18.33,74,152,43,489662,48,591347,26,12474133,117,13555142,9,234887,12,118800,"28-11-2022 21:59:51"
CHK,97.2,134,"13,405",250,13313430,186,17111462,46,99793054,482,130217946,101,4193853,50,2290465,"28-11-2022 21:59:51"
CHKP,67.46,125,"11,202",250,7307912,263,9182245,130,68106986,643,84597143,49,873079,46,3871636,"28-11-2022 21:59:51"
CHMG,35.79,5,80,16,100759,17,79130,9,1494285,42,1674174,5,29777,1,4721,"28-11-2022 21:59:51"
CHNR,0.23,41,0,2,30659,3,6998,2,56488,7,94145,2,30659,1,1298,"28-11-2022 21:59:51"
CHRD,94.12,42,"5,925",158,3957896,206,5373124,26,29828258,390,39159278,54,996730,67,2046208,"28-11-2022 21:59:51"
CHRS,99.64,78,510,89,5745634,85,7341256,25,64411112,199,77498002,21,1195872,25,1495805,"28-11-2022 21:59:51"
CHRW,97.86,118,"11,376",297,6683976,310,6520820,106,101984292,713,115189088,69,1421516,59,873660,"28-11-2022 21:59:51"
CHSCL,0.4,21,2,2,4032,0,0,1,77886,3,81918,0,0,0,0,"28-11-2022 21:59:51"
CHSCM,0.19,20,1,1,439,0,0,2,37515,3,37954,0,0,0,0,"28-11-2022 21:59:51"
CHSCN,0.01,17,0,0,0,0,0,1,1522,1,1522,0,0,0,0,"28-11-2022 21:59:51"
CHSCO,0.04,21,0,0,0,0,0,2,9050,2,9050,0,0,0,0,"28-11-2022 21:59:51"
CHSCP,0.12,12,0,2,4061,0,0,0,10251,2,14312,0,0,0,0,"28-11-2022 21:59:51"
CHTR,66.95,156,"40,656",331,5843058,528,10032786,159,88340963,"1,018",104216807,70,1117081,165,2228519,"28-11-2022 21:59:51"
CHUY,100.42,18,570,65,3588276,58,4003941,23,10480214,146,18072431,17,2809576,17,825660,"28-11-2022 21:59:51"
CHW,16.12,64,64,29,1447513,25,952957,18,7887290,72,10287760,8,179882,6,523377,"28-11-2022 21:59:51"
CHX,104.35,199,"6,366",132,19567204,162,18715541,58,169741721,352,208024466,25,7286745,29,2198173,"28-11-2022 21:59:51"
CHY,17.66,76,156,44,605418,51,679007,27,12055575,122,13340000,7,75518,14,155466,"28-11-2022 21:59:51"
CIDM,8.02,178,7,16,874482,21,3317429,18,10089732,55,14281643,4,445691,13,2154700,"28-11-2022 21:59:51"
CIFR,10.8,248,23,24,1639750,36,2119607,26,22972478,86,26731835,9,512040,10,463513,"28-11-2022 21:59:51"
CIGI,66.09,42,"2,626",62,1832062,77,1387429,27,24506443,166,27725934,15,133621,23,178320,"28-11-2022 21:59:51"
CIH,21.5,67,11,0,0,8,468019,10,13892659,18,14360678,0,0,1,372799,"28-11-2022 21:59:51"
CIIG,89.32,29,258,17,4055166,13,2220690,40,19404947,70,25680803,8,433469,2,1745579,"28-11-2022 21:59:51"
CIIGU,6.77,29,20,2,3504,5,2086360,12,144344,19,1945520,2,3504,2,2083450,"28-11-2022 21:59:51"
CINC,85.17,44,989,72,8214672,17,2556629,2,26504437,91,37275738,34,2449814,5,1110078,"28-11-2022 21:59:51"
CINF,67.79,157,"11,704",301,6820072,334,4511263,135,95229173,770,106560508,50,739172,112,1482113,"28-11-2022 21:59:51"
CING,2.34,11,0,6,93530,3,474947,1,303423,10,265054,3,26513,2,68110,"28-11-2022 21:59:51"
CISO,4.57,146,20,24,475843,19,620809,6,5588636,49,6685288,6,116355,7,249938,"28-11-2022 21:59:51"
CIVB,50.77,16,185,41,420116,42,483171,28,7081523,111,7984810,10,158077,11,211125,"28-11-2022 21:59:51"
CIZN,12.79,6,10,13,63003,6,132617,9,521131,28,716751,4,43487,1,195,"28-11-2022 21:59:51"
CJJD,9.04,5,1,2,413,4,20118,2,461909,8,482440,2,413,2,14715,"28-11-2022 21:59:51"
CKPT,13.56,86,8,18,2021052,23,1112418,29,8529026,70,11662496,4,426434,9,143725,"28-11-2022 21:59:51"
CLAR,90.1,37,256,95,12254244,53,6560815,13,14554382,161,33369441,37,3317524,19,3110910,"28-11-2022 21:59:51"
CLAY,36.23,3,11,5,123597,32,6027342,2,5081069,39,1069870,2,25928,26,5246893,"28-11-2022 21:59:51"
CLBK,13.96,110,335,52,1481129,50,1931235,20,11883578,122,15295942,13,1249496,11,1193458,"28-11-2022 21:59:51"
CLBT,21.67,190,190,23,2880516,12,788911,15,37427378,50,41096805,5,175496,6,627975,"28-11-2022 21:59:51"
CLDX,104.18,47,"1,651",85,7751244,64,6617542,35,34701070,184,49069856,27,2156448,23,3886906,"28-11-2022 21:59:51"
CLEU,1.42,16,0,4,48306,10,732512,1,555358,15,225460,1,10000,8,461368,"28-11-2022 21:59:51"
CLFD,60.75,14,"1,098",126,2989123,59,1207864,17,4197508,202,8394495,72,695952,13,127665,"28-11-2022 21:59:51"
CLGN,14.26,11,7,9,97265,7,263587,8,1209733,24,1570585,4,18900,3,236667,"28-11-2022 21:59:51"
CLIN,85.01,24,203,13,3968862,9,1741354,22,14597842,44,20308058,7,2452925,5,1550421,"28-11-2022 21:59:51"
CLIR,7.0,38,2,11,227977,11,163236,12,2269839,34,2661052,7,184175,7,138523,"28-11-2022 21:59:51"
CLLS,22.65,45,24,20,648518,20,1179236,13,8473229,53,10300983,9,436352,4,442352,"28-11-2022 21:59:51"
CLMB,40.75,4,60,16,152358,12,244518,6,1427967,34,1824843,3,18463,5,56189,"28-11-2022 21:59:51"
CLMT,21.06,79,277,31,1329383,18,815604,20,14535596,69,16680583,6,112670,7,74906,"28-11-2022 21:59:51"
CLNE,46.56,222,658,117,16974012,80,14434891,57,72152477,254,103561380,42,5451705,27,2552751,"28-11-2022 21:59:51"
CLNN,5.92,74,4,21,1639034,28,843589,6,1888573,55,4371196,12,1337812,15,421695,"28-11-2022 21:59:51"
CLOE,91.12,15,145,10,859315,7,1090527,18,11394255,35,13344097,3,521548,4,1066072,"28-11-2022 21:59:51"
CLOEU,3.68,15,6,1,200,1,600,3,532642,5,533442,1,200,0,0,"28-11-2022 21:59:51"
CLOV,32.14,384,159,83,9658498,63,9374519,55,104248400,201,123281417,24,1464699,24,2201900,"28-11-2022 21:59:51"
CLPS,0.29,22,0,3,35979,3,11464,1,17038,7,64481,1,10904,2,8500,"28-11-2022 21:59:51"
CLPT,15.12,25,36,33,566371,21,321862,12,2825591,66,3713824,16,208306,11,163320,"28-11-2022 21:59:51"
CLRB,6.78,9,1,6,28065,26,116377,3,492107,35,636549,2,12001,13,85010,"28-11-2022 21:59:51"
CLRC,81.37,8,66,11,2611612,4,317620,11,3574597,26,6503829,7,1852211,2,60012,"28-11-2022 21:59:51"
CLRM,85.86,29,248,28,2994470,20,1665799,43,20024859,91,24685128,13,611849,8,1250250,"28-11-2022 21:59:51"
CLRO,3.59,24,1,2,295,5,58966,3,801127,10,860388,2,295,0,0,"28-11-2022 21:59:51"
CLSD,20.12,60,14,16,185606,26,1810315,19,10116255,61,12112176,7,143760,6,165543,"28-11-2022 21:59:51"
CLSK,25.64,65,37,59,4772324,42,1849076,20,9995787,121,16617187,18,816479,20,852342,"28-11-2022 21:59:51"
CLST,14.67,5,10,3,23167,5,1879,8,750793,16,775839,2,19167,0,0,"28-11-2022 21:59:51"
CLVR,17.41,44,4,16,889648,16,1200087,13,5536593,45,7626328,6,78475,6,578101,"28-11-2022 21:59:51"
CLVS,24.7,145,12,37,3859291,63,10578670,32,21365375,132,35803336,13,1648719,26,1691073,"28-11-2022 21:59:51"
CLWT,4.41,8,1,4,56645,3,53055,1,231500,8,341200,3,55623,1,1355,"28-11-2022 21:59:51"
CLXT,5.36,49,0,10,140344,11,416887,13,2058994,34,2616225,4,76341,5,154441,"28-11-2022 21:59:51"
CMAX,71.57,87,258,46,1984777,32,2351954,19,58212316,97,62549047,14,193214,14,334805,"28-11-2022 21:59:51"
CMBM,90.45,27,498,51,734503,48,679219,22,23040544,121,24454266,15,358038,11,190570,"28-11-2022 21:59:51"
CMCA,86.42,23,203,19,2220834,8,1579915,26,16075970,53,19876719,10,929779,4,1200681,"28-11-2022 21:59:51"
CMCO,97.28,29,871,82,1243674,71,1415515,22,25190960,175,27850149,13,126278,26,466754,"28-11-2022 21:59:51"
CMCSA,84.26,"4,314","129,582",976,136660180,"1,183",206190729,214,3291980673,"2,373",3634831582,105,21938254,242,24589261,"28-11-2022 21:59:51"
CMCT,20.44,23,28,15,184600,18,213776,10,4248162,43,4646538,6,88109,7,126568,"28-11-2022 21:59:51"
CME,86.55,360,"54,488",540,15187850,486,14604104,211,281565812,"1,237",311357766,94,1526587,87,1116594,"28-11-2022 21:59:51"
CMLS,66.19,18,84,28,804397,43,2797524,15,8123975,86,11725896,9,186313,11,248697,"28-11-2022 21:59:51"
CMMB,1.43,229,7,7,37083,8,70123,4,3156680,19,3263886,5,36477,2,35221,"28-11-2022 21:59:51"
CMPO,57.41,16,44,34,1317446,23,685151,6,7045248,63,9047845,13,511833,6,49122,"28-11-2022 21:59:51"
CMPR,79.89,26,586,67,1601389,62,1761034,16,17594639,145,20957062,22,294104,19,612490,"28-11-2022 21:59:51"
CMPS,17.57,43,75,40,1990041,43,1371690,46,4119216,129,7480947,22,1187177,16,389058,"28-11-2022 21:59:51"
CMPX,50.62,126,279,20,4161058,6,2179021,17,57535515,43,63875594,9,1540677,3,1649471,"28-11-2022 21:59:51"
CMRA,3.32,20,1,12,439001,6,124774,2,94575,20,658350,9,220580,3,80742,"28-11-2022 21:59:51"
CMRX,57.05,88,111,65,13526925,55,14230937,21,22471652,141,50229514,25,1524769,22,9205268,"28-11-2022 21:59:51"
CMTL,73.41,28,236,78,2044772,53,2274962,27,15997446,158,20317180,20,586064,14,1022828,"28-11-2022 21:59:51"
CNCE,70.61,48,172,51,7523685,27,3817812,11,22509730,89,33851227,18,2699286,10,562910,"28-11-2022 21:59:51"
CNDT,78.12,216,695,96,13753428,93,15612976,62,139319899,251,168686303,25,7084011,26,4443708,"28-11-2022 21:59:51"
CNET,0.35,36,0,3,47568,6,168604,2,89015,11,127157,3,47568,1,36478,"28-11-2022 21:59:51"
CNEY,0.12,31,0,2,35034,0,0,1,170,3,35204,2,35034,0,0,"28-11-2022 21:59:51"
CNFR,3.34,12,1,2,359,2,14849,8,393012,12,408220,0,0,1,3738,"28-11-2022 21:59:51"
CNGL,90.37,24,220,12,1634425,10,1625457,28,18302758,50,21562640,3,196412,4,1541553,"28-11-2022 21:59:51"
CNGLU,6.23,23,15,1,4212,5,34361,4,1393594,10,1432167,0,0,2,30276,"28-11-2022 21:59:51"
CNNB,14.35,3,6,6,24547,2,116871,5,272871,13,414289,1,1206,0,0,"28-11-2022 21:59:51"
CNOB,68.11,39,705,72,1150488,76,1251173,33,24326494,181,26728155,20,502800,14,113796,"28-11-2022 21:59:51"
CNSL,80.5,115,434,72,2450314,78,3114877,37,87327817,187,92893008,23,385881,29,1307320,"28-11-2022 21:59:51"
CNSP,3.26,40,0,9,199558,5,113711,12,990607,26,1303876,5,166113,4,63449,"28-11-2022 21:59:51"
CNTA,75.93,95,291,13,4090176,20,4110643,15,63624510,48,71825329,6,263864,3,1184711,"28-11-2022 21:59:51"
CNTB,23.14,55,9,9,490849,22,2718839,4,9533108,35,12742796,6,452910,10,1490906,"28-11-2022 21:59:51"
CNTG,13.4,23,2,6,166005,6,295807,5,2562693,17,3024505,2,11872,2,600,"28-11-2022 21:59:51"
CNTX,25.87,16,6,15,562979,3,74072,9,3494142,27,4131193,7,357453,3,74072,"28-11-2022 21:59:51"
CNTY,69.63,30,166,47,875614,48,1049987,18,18870009,113,20795610,11,326382,12,377164,"28-11-2022 21:59:51"
CNXA,8.68,13,0,3,1033467,4,513748,3,443650,10,1103565,3,1033467,3,354234,"28-11-2022 21:59:51"
CNXC,77.9,52,"4,839",149,2810757,150,3433243,65,34006853,364,40250853,37,751324,46,603132,"28-11-2022 21:59:51"
CNXN,42.68,26,624,75,367300,55,281828,20,10571375,150,11220503,22,126312,10,31412,"28-11-2022 21:59:51"
COCO,24.16,56,160,57,3643301,19,2384025,8,7482269,84,13509595,30,1156055,5,529238,"28-11-2022 21:59:51"
COCP,13.87,8,3,7,13071,15,67942,14,1048653,36,1129666,3,11541,9,8903,"28-11-2022 21:59:51"
CODA,17.82,11,13,10,20417,6,11589,12,1902835,28,1934841,2,6176,0,0,"28-11-2022 21:59:51"
CODX,21.4,31,22,27,885482,38,2119734,22,3610217,87,6615433,13,419846,19,1098225,"28-11-2022 21:59:51"
COEP,44.06,5,5,4,113792,8,572658,9,1567785,21,2254235,2,92227,4,481289,"28-11-2022 21:59:51"
COFS,11.29,8,19,8,85448,10,55051,10,707548,28,848047,2,75329,1,43374,"28-11-2022 21:59:51"
COGT,106.12,70,846,83,17816004,49,15718820,17,40638850,149,74173674,37,7463043,14,5040663,"28-11-2022 21:59:51"
COHR,87.23,139,"4,455",208,15658859,324,26361225,74,78963505,606,120983589,41,869755,171,11966620,"28-11-2022 21:59:51"
COHU,91.9,48,"1,541",86,2291122,94,2267162,39,39215765,219,43774049,23,362505,30,471707,"28-11-2022 21:59:51"
COIN,59.46,179,"4,709",267,11930660,296,14115975,152,80293718,715,106340353,91,1684401,92,2096875,"28-11-2022 22:39:10"
COKE,41.92,8,"1,684",133,648628,136,748170,54,2111766,323,3508564,44,415248,42,74213,"28-11-2022 22:39:10"
COLB,108.88,79,"2,911",123,10602877,99,9537638,53,65488999,275,85629514,19,4100905,26,933406,"28-11-2022 22:39:10"
COLI,83.51,34,289,35,3725014,20,2077135,52,23007128,107,28809277,13,470735,9,1247421,"28-11-2022 22:39:10"
COLIU,8.69,34,30,9,370192,16,668519,11,1959806,36,2998517,2,15251,12,498798,"28-11-2022 22:39:10"
COLL,107.83,34,784,92,2391623,74,2895911,33,30911586,199,36199120,31,822484,24,1159523,"28-11-2022 22:39:10"
COLM,49.74,62,"2,753",141,2354102,122,2401526,46,26139379,309,30895007,29,320280,45,346211,"28-11-2022 22:39:10"
COMM,92.04,208,"1,736",128,29053618,110,27799053,39,134919524,277,191772195,39,7102339,31,3248981,"28-11-2022 22:39:10"
COMS,5.97,96,0,4,1937783,15,1150341,14,2670435,33,5758559,3,1815630,6,979165,"28-11-2022 22:39:10"
CONN,73.33,24,169,44,1013568,86,2774348,19,13739668,149,17527584,17,486537,28,955566,"28-11-2022 22:39:10"
CONX,98.68,75,743,28,12296692,35,6744160,54,54999340,117,74040192,6,3164363,15,3987652,"28-11-2022 22:39:10"
COOL,91.84,40,370,21,5328776,27,3620506,47,27785404,95,36734686,5,373224,15,2550444,"28-11-2022 22:39:10"
